SLNO,Candidate Ref,Offer Date,DOJ Extended,Duration to accept offer,Notice period,Offered band,Current CTC,Expected CTC,Offered CTC,Negotiated CTC,Final CTC,Pecent hike expected in CTC,Percent hike offered in CTC,Percent difference CTC,Joining Bonus,Candidate relocate actual,Gender,Candidate Source,Rex in Yrs,LOB,Primary Skill,Previous Company Type,Location,Age,Status
746,2110746,2025-09-21,No,8,30,E2,13.67,18.58,22.29,,22.29,35.92,63.06,19.97,No,No,Male,Agency,9.8,QA,Selenium,Service,Bangalore,34,Joined
747,2110747,2025-04-07,No,7,90,E1,6.86,8.82,9.91,,9.91,28.57,44.46,12.36,No,No,Male,LinkedIn,2.4,QA,Selenium,Service,Bangalore,26,No Show
748,2110748,2025-10-25,Yes,8,30,E3,18.85,22.22,27.13,29.96,29.96,17.88,43.93,22.1,Yes,Yes,Female,Direct,7.5,Cloud,Kubernetes,Product,Noida,36,Joined
749,2110749,2025-03-09,No,14,75,E1,7.15,9.2,10.77,11.03,11.03,28.67,50.63,17.07,No,No,Male,Naukri,2.6,QA,API Testing,Product,Kochi,23,Joined
750,2110750,2025-09-11,No,2,45,M1,23.57,40.2,36.54,,36.54,70.56,55.03,-9.1,No,No,Male,Naukri,11.3,QA,Selenium,Captive,Chennai,37,Declined
751,2110751,2024-05-08,No,10,60,M1,29.75,41.38,37.22,41.62,41.62,39.09,25.11,-10.05,No,No,Male,Naukri,10.2,Data,ML,Consulting,Pune,33,Declined
752,2110752,2024-11-03,Yes,16,75,E2,9.35,7.8,12.93,,12.93,-16.58,38.29,65.77,No,Yes,Female,Naukri,3.3,Cloud,DevOps,Service,Noida,33,Joined
753,2110753,2025-12-18,No,11,45,M1,34.19,56.74,50.44,,50.44,65.95,47.53,-11.1,Yes,No,Female,Direct,15.8,INFRA,Network,Startup,Hyderabad,44,Joined
754,2110754,2025-06-12,Yes,9,30,E1,10.24,13.65,16.37,18.08,18.08,33.3,59.86,19.93,No,No,Female,Agency,5.5,Data,Data Engineering,Service,Pune,31,No Show
755,2110755,2024-09-11,No,1,75,E3,16.35,22.41,23.53,,23.53,37.06,43.91,5.0,No,Yes,Female,Campus,7.6,ERS,Embedded C,Service,Kochi,33,No Show
756,2110756,2024-09-09,No,6,60,E2,6.1,8.53,7.94,8.21,8.21,39.84,30.16,-6.92,No,No,Female,Employee Referral,4.8,QA,API Testing,Captive,Noida,28,Declined
757,2110757,2025-05-12,Yes,15,90,E1,10.52,13.31,13.2,,13.2,26.52,25.48,-0.83,No,No,Female,Agency,5.0,ERS,VLSI,Startup,Bangalore,28,Joined
758,2110758,2024-06-14,No,11,75,E3,20.57,27.19,34.18,,34.18,32.18,66.16,25.71,No,No,Female,LinkedIn,8.9,Data,Power BI,Service,Hyderabad,34,Joined
759,2110759,2025-01-25,No,15,30,M2,33.09,50.54,45.37,,45.37,52.73,37.11,-10.23,No,No,Male,LinkedIn,11.3,Data,Data Engineering,Service,Pune,36,Joined
760,2110760,2025-05-04,No,17,90,E2,6.14,11.03,8.24,9.11,9.11,79.64,34.2,-25.29,No,Yes,Female,Agency,3.7,Digital,Python,Service,Hyderabad,29,Joined
761,2110761,2024-01-16,No,15,60,E2,6.34,10.95,6.47,,6.47,72.71,2.05,-40.91,Yes,No,Female,Agency,4.8,SAP,SAP MM,Service,Kochi,27,Declined
762,2110762,2025-03-11,Yes,20,90,E3,23.55,25.51,33.36,36.7,36.7,8.32,41.66,30.77,No,No,Female,LinkedIn,7.9,SAP,SAP Basis,Service,Mumbai,34,Joined
763,2110763,2025-11-18,Yes,16,45,M1,25.0,25.55,29.39,32.38,32.38,2.2,17.56,15.03,No,No,Male,Employee Referral,10.3,Digital,Java Spring,Captive,Chennai,36,Accepted
764,2110764,2025-12-31,Yes,7,75,E2,12.48,16.67,18.66,,18.66,33.57,49.52,11.94,No,Yes,Female,Direct,5.4,Cybersecurity,Penetration Testing,Service,Hyderabad,27,Joined
765,2110765,2025-07-09,Yes,11,60,E3,15.63,23.05,22.33,,22.33,47.47,42.87,-3.12,No,No,Female,Naukri,8.4,QA,Manual Testing,Captive,Pune,33,Declined
766,2110766,2024-02-06,No,26,90,E1,10.65,13.6,16.28,,16.28,27.7,52.86,19.71,No,No,Female,Employee Referral,4.3,SAP,SAP MM,Startup,Kochi,32,Joined
767,2110767,2025-09-09,Yes,3,30,M1,27.29,40.98,46.83,49.77,49.77,50.16,71.6,14.28,No,No,Male,LinkedIn,9.8,INFRA,Linux Admin,Product,Mumbai,31,Declined
768,2110768,2025-08-23,No,19,45,E2,9.03,8.44,11.44,,11.44,-6.53,26.69,35.55,Yes,No,Male,Naukri,5.4,INFRA,Linux Admin,Captive,Mumbai,28,Joined
769,2110769,2025-07-24,No,9,75,E1,5.89,10.05,9.56,,9.56,70.63,62.31,-4.88,No,No,Female,Naukri,0.9,ERS,VLSI,Captive,Hyderabad,25,Declined
770,2110770,2024-08-05,No,7,90,E3,13.32,20.73,13.59,,13.59,55.63,2.03,-34.44,No,No,Other,Agency,7.4,Digital,React,Consulting,Chennai,30,Declined
771,2110771,2024-10-29,No,7,75,E2,9.57,13.33,13.75,,13.75,39.29,43.68,3.15,No,No,Male,Direct,6.8,INFRA,Linux Admin,Service,Chennai,32,Declined
772,2110772,2024-11-12,No,11,45,E3,16.59,21.97,23.84,,23.84,32.43,43.7,8.51,Yes,No,Male,Employee Referral,4.5,INFRA,VMware,Product,Bangalore,30,Declined
773,2110773,2025-02-03,No,19,75,E1,8.71,10.86,10.75,11.86,11.86,24.68,23.42,-1.01,Yes,No,Male,Naukri,0.8,Cybersecurity,SOC,Consulting,Bangalore,28,Accepted
774,2110774,2025-01-11,No,11,45,E2,11.77,14.47,16.55,18.23,18.23,22.94,40.61,14.37,Yes,No,Male,Agency,6.9,ERS,IoT,Service,Hyderabad,31,Joined
775,2110775,2025-10-18,No,12,90,E2,9.23,10.92,10.74,,10.74,18.31,16.36,-1.65,Yes,No,Male,LinkedIn,6.7,SAP,SAP Basis,Service,Noida,28,Declined
776,2110776,2025-06-18,No,11,90,E3,23.18,30.92,28.04,28.84,28.84,33.39,20.97,-9.31,No,No,Male,LinkedIn,8.5,Cybersecurity,SOC,Service,Hyderabad,30,Declined
777,2110777,2024-10-30,Yes,13,90,E1,8.54,12.54,11.01,,11.01,46.84,28.92,-12.2,Yes,Yes,Male,Agency,1.0,Digital,Python,Captive,Bangalore,24,Joined
778,2110778,2024-09-27,No,16,90,E1,6.11,8.99,8.96,9.68,9.68,47.14,46.64,-0.33,No,No,Female,Campus,1.7,INFRA,Linux Admin,Product,Noida,25,Joined
779,2110779,2025-12-22,No,7,30,E2,12.07,19.65,18.28,20.16,20.16,62.8,51.45,-6.97,No,No,Male,Naukri,5.5,Digital,Java Spring,Service,Kochi,28,Declined
780,2110780,2025-06-13,No,9,45,E2,8.45,9.22,9.34,,9.34,9.11,10.53,1.3,No,No,Male,Agency,4.9,ERS,IoT,Captive,Chennai,31,Declined
781,2110781,2025-11-03,No,16,60,E2,12.47,11.97,15.23,15.71,15.71,-4.01,22.13,27.23,Yes,Yes,Male,Employee Referral,7.9,QA,Selenium,Service,Bangalore,35,Joined
782,2110782,2025-10-31,No,15,90,E3,18.68,19.82,26.68,,26.68,6.1,42.83,34.61,Yes,Yes,Male,Direct,9.0,INFRA,Linux Admin,Captive,Mumbai,35,Accepted
783,2110783,2024-05-24,No,20,75,E2,18.32,31.62,21.97,23.45,23.45,72.6,19.92,-30.52,No,No,Male,Naukri,9.0,Data,Data Engineering,Service,Mumbai,35,Joined
784,2110784,2025-01-03,No,16,30,M1,21.13,27.17,24.95,,24.95,28.58,18.08,-8.17,No,Yes,Female,Naukri,8.2,Data,SQL,Service,Chennai,34,Accepted
785,2110785,2025-01-26,No,14,90,E2,6.07,8.85,8.31,8.73,8.73,45.8,36.9,-6.1,No,No,Male,LinkedIn,2.6,Cloud,DevOps,Service,Kochi,28,Joined
786,2110786,2024-12-07,Yes,19,60,E3,14.06,17.23,19.62,21.9,21.9,22.55,39.54,13.87,No,No,Male,Employee Referral,7.8,Data,ML,Service,Chennai,35,Joined
787,2110787,2024-02-25,No,9,45,E3,23.48,36.72,33.5,,33.5,56.39,42.67,-8.77,Yes,Yes,Male,Naukri,8.2,ERS,IoT,Startup,Mumbai,32,Joined
788,2110788,2024-03-01,No,9,60,M1,23.5,32.5,32.08,33.16,33.16,38.3,36.51,-1.29,Yes,No,Male,Direct,12.9,ERS,IoT,Service,Mumbai,37,Declined
789,2110789,2025-04-19,No,8,60,E3,21.6,27.03,25.96,27.21,27.21,25.14,20.19,-3.96,No,No,Female,Employee Referral,11.9,ERS,Embedded C,Startup,Hyderabad,37,Declined
790,2110790,2024-02-02,Yes,22,30,E1,8.38,11.1,10.47,11.43,11.43,32.46,24.94,-5.68,No,No,Female,Employee Referral,1.3,Cybersecurity,Penetration Testing,Captive,Mumbai,25,Joined
791,2110791,2025-02-21,Yes,12,60,E3,25.75,40.71,30.09,,30.09,58.1,16.85,-26.09,No,No,Male,Naukri,8.3,Data,SQL,Consulting,Bangalore,31,Declined
792,2110792,2024-08-11,No,18,30,E3,13.81,18.32,18.32,,18.32,32.66,32.66,0.0,No,No,Male,Direct,6.8,ERS,Embedded C,Consulting,Pune,34,Joined
793,2110793,2025-02-04,No,9,75,E2,11.45,14.82,14.51,,14.51,29.43,26.72,-2.09,No,No,Female,Direct,4.0,Data,Data Engineering,Captive,Noida,26,Declined
794,2110794,2024-09-07,Yes,4,45,E2,17.01,22.81,24.03,26.4,26.4,34.1,41.27,5.35,No,Yes,Male,Employee Referral,8.8,Data,Power BI,Consulting,Noida,34,No Show
795,2110795,2025-04-06,No,14,75,E3,24.98,32.86,29.6,,29.6,31.55,18.49,-9.92,Yes,Yes,Male,Direct,11.1,SAP,SAP FICO,Service,Chennai,36,Declined
796,2110796,2025-04-19,No,7,30,E2,13.23,14.5,19.32,19.72,19.72,9.6,46.03,33.24,No,Yes,Female,LinkedIn,5.9,Digital,Java Spring,Service,Chennai,29,Joined
797,2110797,2025-05-15,No,12,90,E2,16.62,21.21,19.74,,19.74,27.62,18.77,-6.93,No,Yes,Female,Naukri,9.6,Digital,Java Spring,Captive,Pune,32,Accepted
798,2110798,2025-12-26,No,7,90,E2,7.12,11.04,8.39,,8.39,55.06,17.84,-24.0,No,No,Male,LinkedIn,5.8,INFRA,Windows Server,Service,Bangalore,30,Declined
799,2110799,2024-05-21,No,12,90,M1,60.42,103.02,76.88,,76.88,70.51,27.24,-25.37,No,No,Female,Naukri,14.9,Cybersecurity,IAM,Product,Pune,41,No Show
800,2110800,2024-03-08,No,1,45,E1,10.17,14.77,13.98,15.64,15.64,45.23,37.46,-5.35,No,Yes,Female,Employee Referral,2.7,Digital,Java Spring,Service,Bangalore,29,No Show
801,2110801,2024-07-17,No,11,30,E1,8.48,14.08,13.19,14.03,14.03,66.04,55.54,-6.32,No,No,Female,Agency,0.8,Cybersecurity,IAM,Product,Mumbai,28,Accepted
802,2110802,2024-03-13,Yes,21,30,E2,11.16,15.85,18.06,,18.06,42.03,61.83,13.94,No,Yes,Female,Agency,4.7,Digital,Java Spring,Service,Pune,33,Joined
803,2110803,2025-09-26,No,20,75,E3,14.88,19.33,21.84,,21.84,29.91,46.77,12.98,Yes,No,Male,Naukri,4.2,INFRA,Windows Server,Startup,Mumbai,26,Joined
804,2110804,2025-08-07,Yes,12,60,E2,10.26,15.97,13.23,,13.23,55.65,28.95,-17.16,No,No,Male,Agency,5.2,INFRA,Network,Service,Bangalore,29,Joined
805,2110805,2024-06-21,Yes,8,30,E2,16.2,21.79,20.06,21.3,21.3,34.51,23.83,-7.94,No,No,Female,Naukri,3.0,Cybersecurity,SOC,Captive,Hyderabad,27,Joined
806,2110806,2025-08-31,No,13,60,M1,23.13,29.25,36.23,38.82,38.82,26.46,56.64,23.86,No,No,Male,Employee Referral,8.3,INFRA,Linux Admin,Captive,Hyderabad,31,Joined
807,2110807,2025-11-13,No,1,90,E3,27.82,44.7,40.71,,40.71,60.68,46.33,-8.93,No,No,Female,Employee Referral,10.0,SAP,SAP MM,Captive,Mumbai,34,Declined
808,2110808,2025-07-31,No,3,30,M1,27.21,41.03,31.56,33.37,33.37,50.79,15.99,-23.08,No,Yes,Male,Direct,7.8,Cloud,Azure,Service,Hyderabad,35,Declined
809,2110809,2024-10-14,No,9,60,E2,7.63,11.85,7.78,8.66,8.66,55.31,1.97,-34.35,No,No,Male,Naukri,4.4,QA,Performance Testing,Consulting,Noida,27,Declined
810,2110810,2025-04-02,No,5,90,E2,18.69,28.41,27.03,,27.03,52.01,44.62,-4.86,No,No,Male,Direct,5.7,Data,Data Engineering,Product,Bangalore,31,Declined
811,2110811,2024-04-29,No,8,90,M1,16.33,27.06,20.01,,20.01,65.71,22.54,-26.05,No,No,Male,Employee Referral,8.4,Cloud,AWS,Service,Pune,36,Declined
812,2110812,2024-05-25,No,5,75,M2,47.05,64.25,60.8,,60.8,36.56,29.22,-5.37,No,Yes,Male,LinkedIn,12.4,Data,Power BI,Service,Mumbai,36,No Show
813,2110813,2025-10-25,No,10,60,E2,10.22,12.7,12.65,,12.65,24.27,23.78,-0.39,Yes,No,Male,Agency,7.1,QA,Manual Testing,Service,Noida,31,Declined
814,2110814,2024-06-05,No,11,90,E3,17.04,21.83,24.0,25.15,25.15,28.11,40.85,9.94,No,No,Male,Employee Referral,7.3,SAP,SAP FICO,Service,Mumbai,35,Declined
815,2110815,2024-05-06,No,10,45,E2,13.0,17.08,18.06,,18.06,31.38,38.92,5.74,No,No,Female,LinkedIn,8.7,INFRA,Linux Admin,Consulting,Hyderabad,29,Joined
816,2110816,2024-09-09,No,16,90,E3,12.36,14.86,16.09,,16.09,20.23,30.18,8.28,No,Yes,Female,Direct,4.7,SAP,SAP ABAP,Service,Pune,29,Joined
817,2110817,2024-08-20,No,12,45,E1,7.34,9.88,10.81,,10.81,34.6,47.28,9.41,No,No,Male,Agency,3.3,Cybersecurity,IAM,Startup,Chennai,30,No Show
818,2110818,2024-06-08,No,23,90,E1,9.43,13.22,12.18,,12.18,40.19,29.16,-7.87,No,Yes,Male,Direct,1.4,Cybersecurity,SOC,Product,Pune,25,Joined
819,2110819,2024-05-25,No,28,75,E1,9.69,13.09,11.94,12.49,12.49,35.09,23.22,-8.79,No,No,Male,Campus,3.8,Cloud,Azure,Startup,Mumbai,29,Accepted
820,2110820,2024-12-11,No,16,90,E2,6.22,10.16,8.32,9.1,9.1,63.34,33.76,-18.11,No,Yes,Male,Employee Referral,4.1,ERS,Embedded C,Service,Kochi,33,Accepted
821,2110821,2024-05-04,No,13,30,M1,28.25,40.73,40.8,,40.8,44.18,44.42,0.17,Yes,No,Male,Naukri,7.1,SAP,SAP MM,Product,Kochi,34,Joined
822,2110822,2024-06-27,No,5,60,E3,15.41,22.75,17.88,18.35,18.35,47.63,16.03,-21.41,No,No,Male,Agency,9.8,ERS,Embedded C,Startup,Chennai,33,Joined
823,2110823,2024-01-01,Yes,1,60,M2,27.34,34.62,33.14,,33.14,26.63,21.21,-4.27,No,Yes,Male,Employee Referral,10.1,Cybersecurity,SOC,Service,Pune,33,Declined
824,2110824,2025-10-24,No,2,45,E3,15.07,18.52,25.86,,25.86,22.89,71.6,39.63,Yes,No,Male,Agency,6.1,Digital,Python,Captive,Chennai,31,Declined
825,2110825,2025-10-14,No,4,90,E2,9.35,13.54,12.96,13.97,13.97,44.81,38.61,-4.28,No,No,Female,LinkedIn,5.2,QA,Selenium,Product,Bangalore,30,Declined
826,2110826,2025-05-12,No,13,30,E2,8.96,12.87,9.84,10.16,10.16,43.64,9.82,-23.54,No,No,Female,Naukri,3.5,Data,Power BI,Service,Bangalore,32,Joined
827,2110827,2024-12-21,No,12,75,M1,18.79,29.91,25.08,26.7,26.7,59.18,33.48,-16.15,No,No,Female,LinkedIn,6.8,Data,ML,Startup,Kochi,30,Declined
828,2110828,2024-05-20,No,12,45,E1,13.6,21.89,17.92,,17.92,60.96,31.76,-18.14,No,Yes,Female,Employee Referral,4.9,Data,Data Engineering,Service,Bangalore,24,Joined
829,2110829,2025-09-18,No,19,60,E2,10.06,14.51,12.22,12.85,12.85,44.23,21.47,-15.78,No,Yes,Female,LinkedIn,3.3,Cybersecurity,IAM,Startup,Bangalore,27,Joined
830,2110830,2024-09-05,No,4,60,E1,7.79,10.72,11.0,,11.0,37.61,41.21,2.61,No,No,Male,Employee Referral,1.3,SAP,SAP Basis,Service,Chennai,22,Declined
831,2110831,2025-08-12,No,12,60,E3,24.63,28.11,34.58,,34.58,14.13,40.4,23.02,No,Yes,Male,Employee Referral,9.6,Data,Data Engineering,Captive,Noida,30,Joined
832,2110832,2025-01-14,No,11,75,E1,5.13,7.87,7.39,7.78,7.78,53.41,44.05,-6.1,No,Yes,Male,Direct,1.3,Data,SQL,Consulting,Chennai,25,Joined
833,2110833,2024-12-07,No,8,60,E2,9.66,12.11,13.48,,13.48,25.36,39.54,11.31,Yes,Yes,Male,Agency,3.2,Digital,React,Service,Bangalore,31,Declined
834,2110834,2024-08-14,No,9,90,E2,8.95,14.2,12.7,13.04,13.04,58.66,41.9,-10.56,No,No,Male,Naukri,4.0,SAP,SAP MM,Captive,Hyderabad,31,Joined
835,2110835,2025-11-04,No,1,45,E2,16.33,24.81,21.88,22.98,22.98,51.93,33.99,-11.81,No,Yes,Female,Employee Referral,7.8,Cybersecurity,SOC,Captive,Chennai,33,Declined
836,2110836,2024-09-26,Yes,11,45,E3,19.62,27.26,20.01,22.02,22.02,38.94,1.99,-26.6,No,No,Male,Direct,8.5,ERS,Embedded C,Startup,Noida,30,No Show
837,2110837,2024-06-05,No,8,30,E2,15.26,19.64,18.95,,18.95,28.7,24.18,-3.51,No,Yes,Male,LinkedIn,6.3,Cloud,DevOps,Captive,Bangalore,31,Declined
838,2110838,2025-03-13,Yes,7,30,E2,8.11,11.15,12.16,13.24,13.24,37.48,49.94,9.06,No,Yes,Female,LinkedIn,4.0,Digital,Java Spring,Service,Chennai,27,Accepted
839,2110839,2024-05-10,Yes,9,30,M1,30.72,37.58,36.98,,36.98,22.33,20.38,-1.6,No,Yes,Male,Agency,8.1,Cybersecurity,Penetration Testing,Service,Chennai,34,Joined
840,2110840,2025-05-02,No,18,30,E1,5.08,7.59,5.71,,5.71,49.41,12.4,-24.77,Yes,No,Female,Direct,0.8,ERS,Embedded C,Startup,Pune,23,Declined
841,2110841,2025-09-05,Yes,15,60,E1,8.66,11.45,12.57,,12.57,32.22,45.15,9.78,No,Yes,Male,Naukri,3.1,Cybersecurity,Penetration Testing,Product,Pune,25,Joined
842,2110842,2025-06-27,Yes,14,45,E2,14.66,18.22,17.95,,17.95,24.28,22.44,-1.48,No,No,Male,Employee Referral,5.2,Cybersecurity,GRC,Service,Pune,35,Joined
843,2110843,2024-11-21,Yes,6,30,E1,10.5,13.09,16.59,17.17,17.17,24.67,58.0,26.74,Yes,No,Female,Naukri,2.5,Cloud,DevOps,Startup,Mumbai,28,Accepted
844,2110844,2024-09-23,No,15,60,E1,4.71,6.57,6.6,,6.6,39.49,40.13,0.46,No,Yes,Male,Agency,2.9,INFRA,Windows Server,Product,Bangalore,27,Joined
845,2110845,2025-01-18,No,7,60,E1,9.78,13.3,11.02,,11.02,35.99,12.68,-17.14,No,Yes,Female,Naukri,2.4,Cloud,Azure,Captive,Mumbai,25,Declined
846,2110846,2025-04-30,No,11,60,E3,16.94,19.92,25.18,28.07,28.07,17.59,48.64,26.41,No,No,Male,Employee Referral,6.6,Cybersecurity,SOC,Captive,Noida,30,Joined
847,2110847,2025-11-11,No,8,90,E2,8.83,10.58,12.33,13.72,13.72,19.82,39.64,16.54,No,Yes,Female,Direct,5.2,Cybersecurity,IAM,Service,Bangalore,31,Declined
848,2110848,2024-07-28,No,13,90,E3,17.36,24.84,22.68,23.89,23.89,43.09,30.65,-8.7,No,No,Female,Naukri,7.7,SAP,SAP MM,Startup,Pune,32,Declined
849,2110849,2025-07-10,No,6,30,E2,10.75,14.14,16.05,16.85,16.85,31.53,49.3,13.51,Yes,No,Male,Campus,5.7,ERS,Embedded C,Service,Hyderabad,29,No Show
850,2110850,2025-05-24,No,15,90,E1,11.97,16.12,17.36,,17.36,34.67,45.03,7.69,No,Yes,Female,LinkedIn,2.4,SAP,SAP FICO,Product,Bangalore,25,Accepted
851,2110851,2024-11-08,No,9,75,E1,8.43,12.73,11.91,12.88,12.88,51.01,41.28,-6.44,No,No,Male,Naukri,2.6,Cloud,DevOps,Service,Noida,28,Declined
852,2110852,2024-10-11,No,11,90,E2,10.86,17.52,11.68,12.92,12.92,61.33,7.55,-33.33,No,No,Male,Direct,6.9,Digital,Node.js,Service,Noida,31,Declined
853,2110853,2025-10-08,Yes,6,75,E1,7.97,11.08,13.51,,13.51,39.02,69.51,21.93,No,Yes,Male,Agency,2.7,Digital,React,Service,Bangalore,26,Joined
854,2110854,2025-04-13,Yes,12,45,M1,25.76,30.47,29.97,,29.97,18.28,16.34,-1.64,No,No,Female,LinkedIn,9.7,Data,Power BI,Service,Noida,38,Joined
855,2110855,2025-02-16,No,18,75,E3,18.33,31.1,20.13,,20.13,69.67,9.82,-35.27,No,No,Male,Direct,6.3,Cloud,Azure,Captive,Kochi,26,No Show
856,2110856,2024-07-10,No,16,45,E2,12.65,17.95,18.08,,18.08,41.9,42.92,0.72,No,No,Female,Naukri,4.5,Cloud,Kubernetes,Service,Noida,30,Accepted
857,2110857,2024-03-17,No,13,75,E1,7.88,11.52,10.32,11.18,11.18,46.19,30.96,-10.42,Yes,No,Female,Naukri,2.1,INFRA,Windows Server,Consulting,Hyderabad,27,Declined
858,2110858,2025-01-20,No,7,75,E1,4.39,6.08,6.87,7.35,7.35,38.5,56.49,12.99,No,No,Male,LinkedIn,1.7,QA,Performance Testing,Service,Bangalore,25,Declined
859,2110859,2025-08-16,No,14,60,E1,5.07,6.94,7.66,8.02,8.02,36.88,51.08,10.37,No,No,Female,Campus,1.0,SAP,SAP Basis,Product,Kochi,29,Joined
860,2110860,2025-08-07,No,10,30,E1,6.99,9.44,9.93,10.9,10.9,35.05,42.06,5.19,No,No,Other,Employee Referral,1.1,Data,ML,Product,Chennai,26,Declined
861,2110861,2025-06-11,No,20,60,E2,12.41,16.5,18.41,,18.41,32.96,48.35,11.58,No,Yes,Male,Employee Referral,5.5,Cloud,DevOps,Captive,Bangalore,32,Joined
862,2110862,2025-07-23,No,24,75,E3,12.72,12.89,15.36,16.5,16.5,1.34,20.75,19.16,No,Yes,Female,Direct,6.3,Cybersecurity,IAM,Service,Bangalore,32,Joined
863,2110863,2024-01-01,Yes,10,90,E3,38.09,34.95,46.21,,46.21,-8.24,21.32,32.22,No,No,Female,Naukri,8.8,Cloud,AWS,Product,Hyderabad,31,Accepted
864,2110864,2025-04-04,No,1,30,E3,31.82,41.95,45.09,48.54,48.54,31.84,41.7,7.49,No,No,Male,Campus,6.9,SAP,SAP Basis,Product,Bangalore,32,Accepted
865,2110865,2024-10-07,No,1,30,E1,6.0,9.28,7.81,8.2,8.2,54.67,30.17,-15.84,No,Yes,Male,LinkedIn,2.8,QA,Manual Testing,Service,Mumbai,26,Declined
866,2110866,2024-08-29,Yes,4,30,E1,3.82,4.13,4.33,4.82,4.82,8.12,13.35,4.84,No,No,Male,Agency,1.8,SAP,SAP FICO,Service,Chennai,24,Declined
867,2110867,2024-05-20,No,5,90,E2,13.16,19.37,16.84,,16.84,47.19,27.96,-13.06,No,Yes,Male,LinkedIn,6.9,Data,ML,Product,Kochi,34,Declined
868,2110868,2024-06-09,No,9,45,E3,32.78,58.1,40.91,44.66,44.66,77.24,24.8,-29.59,No,No,Female,Campus,9.2,Cloud,AWS,Product,Chennai,33,Declined
869,2110869,2025-06-25,No,13,90,E2,13.33,17.29,19.42,20.78,20.78,29.71,45.69,12.32,Yes,No,Female,Naukri,3.9,Cloud,DevOps,Product,Noida,29,Joined
870,2110870,2024-11-03,No,10,45,E3,20.23,23.78,30.63,,30.63,17.55,51.41,28.81,Yes,Yes,Male,Employee Referral,6.3,Data,SQL,Product,Hyderabad,31,Joined
871,2110871,2025-06-09,No,5,75,E2,7.71,12.25,8.28,8.61,8.61,58.88,7.39,-32.41,Yes,No,Female,Direct,3.5,QA,Selenium,Service,Hyderabad,23,Declined
872,2110872,2025-06-08,No,14,90,E2,14.54,21.59,20.48,21.52,21.52,48.49,40.85,-5.14,No,No,Female,LinkedIn,4.9,Digital,Java Spring,Product,Hyderabad,27,Declined
873,2110873,2025-10-06,No,6,30,E3,13.47,19.58,19.23,20.21,20.21,45.36,42.76,-1.79,No,No,Male,Employee Referral,9.4,INFRA,VMware,Service,Pune,35,Joined
874,2110874,2025-07-07,No,24,30,E2,9.04,10.36,12.17,,12.17,14.6,34.62,17.47,No,No,Female,LinkedIn,3.9,Cybersecurity,SOC,Service,Noida,29,Joined
875,2110875,2024-12-22,No,11,90,E1,9.65,11.81,12.7,13.67,13.67,22.38,31.61,7.54,No,Yes,Male,Employee Referral,2.3,Data,Data Engineering,Startup,Chennai,25,No Show
876,2110876,2024-12-02,No,14,90,E1,7.04,9.38,9.32,10.0,10.0,33.24,32.39,-0.64,No,No,Male,LinkedIn,4.3,INFRA,Linux Admin,Product,Chennai,29,No Show
877,2110877,2025-05-18,No,9,45,E2,10.87,14.88,14.3,15.3,15.3,36.89,31.55,-3.9,No,No,Male,Employee Referral,6.0,Data,Data Engineering,Consulting,Kochi,28,No Show
878,2110878,2025-01-17,No,6,90,E2,13.97,21.51,20.54,21.6,21.6,53.97,47.03,-4.51,Yes,No,Male,Naukri,6.8,Cybersecurity,SOC,Startup,Kochi,32,Declined
879,2110879,2024-11-10,No,4,60,M1,35.09,49.73,49.33,,49.33,41.72,40.58,-0.8,No,Yes,Male,Direct,10.8,Cybersecurity,SOC,Service,Kochi,37,Accepted
880,2110880,2025-12-14,No,23,90,E2,15.32,20.97,19.51,21.62,21.62,36.88,27.35,-6.96,No,No,Male,Agency,4.8,Cybersecurity,SOC,Service,Chennai,32,Joined
881,2110881,2025-10-10,No,8,90,E3,15.58,24.12,20.83,21.94,21.94,54.81,33.7,-13.64,No,No,Male,Direct,7.0,Cloud,Kubernetes,Service,Kochi,29,No Show
882,2110882,2025-05-12,No,14,90,E1,6.27,9.03,8.14,8.62,8.62,44.02,29.82,-9.86,No,Yes,Male,Employee Referral,0.8,Cloud,AWS,Service,Mumbai,27,Joined
883,2110883,2025-07-02,No,14,45,E3,12.77,18.49,16.65,17.16,17.16,44.79,30.38,-9.95,No,No,Female,Employee Referral,6.3,Digital,Python,Service,Kochi,31,Declined
884,2110884,2025-11-23,No,13,90,E2,8.4,11.79,11.4,12.11,12.11,40.36,35.71,-3.31,Yes,No,Female,Direct,4.7,Data,ML,Consulting,Kochi,31,Declined
885,2110885,2025-09-20,No,6,75,E2,11.4,11.15,16.68,,16.68,-2.19,46.32,49.6,No,No,Male,Agency,5.8,Cloud,DevOps,Service,Kochi,31,Joined
886,2110886,2024-10-04,No,1,75,E3,21.7,22.11,31.39,35.06,35.06,1.89,44.65,41.97,No,Yes,Female,Employee Referral,5.8,Cybersecurity,Penetration Testing,Captive,Bangalore,27,Declined
887,2110887,2025-09-11,No,9,90,M1,13.78,20.45,19.71,20.9,20.9,48.4,43.03,-3.62,No,No,Male,LinkedIn,6.8,ERS,Autosar,Captive,Hyderabad,28,Declined
888,2110888,2024-02-05,No,12,45,E2,13.26,19.77,13.53,,13.53,49.1,2.04,-31.56,No,No,Female,Direct,4.8,Cybersecurity,IAM,Consulting,Noida,34,Declined
889,2110889,2024-04-11,No,13,75,E2,8.95,14.41,12.82,,12.82,61.01,43.24,-11.03,No,No,Male,Employee Referral,5.5,QA,Selenium,Service,Bangalore,28,Declined
